mean_test_score,mean_fit_time,C,Gamma,tomek,under_strat,over_strat
0.850984234,11.71240266,11.0407108,0.561449503,TL,-80%,Imbal S
0.850845108,39.12824678,42.4784688,0.414434004,TL,Imbal,+500% S
0.850784223,128.7942673,254.0877798,0.418573101,No TL,-25%,Imbal S
0.850754384,30.716096,33.60455395,0.557875626,TL,-60%,Imbal S
0.850597838,55.26743666,27.62440487,0.310208083,TL,-60%,SMOTE
0.850461967,43.78157028,86.93765597,0.47326992,No TL,Imbal,Imbal S
0.850252215,78.59672379,57.35594375,0.508764777,TL,-15%,+500% S
0.850246892,144.5418811,73.91147133,0.515684542,TL,-40%,BoSMOTE
0.850102249,126.3023228,22.65645221,0.804787572,TL,-15%,+500% S
0.849976319,66.79947472,155.6434434,0.426195893,No TL,-40%,Imbal S
0.849954949,93.07328534,144.4973464,1.040297477,TL,-25%,+100% S
0.849787601,72.30828126,137.3320603,0.936846407,No TL,-60%,+500% BS
0.849712292,34.54010463,135.8233013,0.286126574,TL,-60%,Imbal S
0.849643278,7.293789387,20.31716833,0.571630628,TL,-80%,SMOTE
0.849031155,145.0214655,151.1135351,0.849883044,No TL,-15%,+500% BS
0.848767124,62.45053927,117.7927188,0.475613979,TL,-40%,+300% S
0.848325919,10.48068404,5.160903077,1.016433076,No TL,-80%,Imbal S
0.848303222,18.46759669,9.29497849,0.825094666,TL,-80%,+300% S
0.847894207,96.18350061,16.65302881,0.870842248,TL,-25%,+500% S
0.847817683,33.93699869,25.33495355,0.661108658,TL,Imbal,Imbal S
0.847770327,53.66865246,24.67913906,0.997021115,TL,-40%,+300% S
0.847077768,79.85594916,146.8629742,0.896980644,No TL,-40%,Imbal BS
0.847000872,44.46185668,36.85140802,0.961467918,No TL,Imbal,+300% S
0.846993865,136.4646223,97.28572144,0.360907023,TL,-15%,+500% S
0.846991777,29.76876092,28.88043091,0.700925028,TL,-60%,+300% S
0.846685543,43.42584244,120.6883464,0.897680101,No TL,-60%,+500% BS
0.846677849,123.5144969,209.2545,0.978420061,TL,-15%,+50% S
0.846664589,106.9790755,114.2947678,0.816090425,TL,-40%,+500% BS
0.846514357,30.29418596,47.08937495,0.677057915,TL,-40%,+300% S
0.846475056,68.20705605,142.2616768,0.154016571,No TL,-60%,SMOTE
0.846315908,251.1973978,30.06484715,0.607421734,No TL,-15%,BoSMOTE
0.846314387,46.49471609,110.2328213,0.886548706,TL,Imbal,Imbal BS
0.846106725,62.02012897,31.5249578,0.435056993,No TL,-60%,+500% S
0.845955709,6.201096296,141.9087911,0.797093533,TL,-80%,+100% S
0.8459335,33.97483675,20.2459609,0.901554367,TL,Imbal,+300% S
0.845522726,62.73458942,13.92196561,0.820757229,No TL,Imbal,+500% S
0.845498148,41.60868883,129.8911565,0.785027478,TL,Imbal,Imbal BS
0.845343769,47.66826097,124.1739976,0.507285725,No TL,Imbal,+300% S
0.845293174,21.4134531,187.8764912,0.836570795,TL,-60%,+100% S
0.845280243,73.19310284,52.7309745,0.758915626,No TL,Imbal,BoSMOTE
0.845159548,161.9919665,1.744094903,1.033806006,TL,-40%,SMOTE
0.845099058,56.58666635,46.94100601,0.478425232,TL,-40%,Imbal S
0.844834818,65.45540396,86.33337163,0.309509382,No TL,Imbal,+500% S
0.844829855,392.6712404,113.8902978,0.290391631,TL,-15%,BoSMOTE
0.844678959,99.20003478,26.11669453,1.039004009,TL,-15%,+300% S
0.844658595,51.53094133,137.2734236,0.931884209,TL,-40%,+100% S
0.844595457,40.4709843,6.822127826,0.569243929,TL,-60%,SMOTE
0.844479688,78.22865748,102.4812988,0.871315935,TL,Imbal,+500% BS
0.844473192,139.9020606,172.1404529,0.588460638,TL,-25%,+500% BS
0.844241756,111.0424584,44.3845533,0.640173356,No TL,-40%,BoSMOTE
0.843956202,71.20225294,113.1772502,0.55435542,No TL,-40%,+300% S
0.84384916,15.20301898,3.748413384,0.951659623,TL,-80%,Imbal S
0.843830302,112.7022547,41.52256166,1.026912408,No TL,-15%,+300% S
0.843800793,33.75929936,27.05924798,0.723720798,TL,Imbal,+300% S
0.843689489,136.6538199,24.63446233,0.808939676,No TL,-15%,+500% S
0.843369127,31.6297578,28.72983222,0.494794681,TL,-60%,Imbal S
0.842995072,188.4273054,104.884966,0.854991866,No TL,-15%,+500% BS
0.842777059,98.6682713,10.85361744,0.950183416,TL,-25%,+500% S
0.84267212,138.4746424,41.10322701,1.051095736,TL,-15%,+500% BS
0.842644194,34.01001128,84.24015292,1.052633158,TL,-60%,Imbal BS
0.842607878,56.07757672,21.34809735,0.389466582,TL,-60%,+500% S
0.842582963,8.452827692,16.19343696,0.597640909,No TL,-80%,SMOTE
0.842334392,240.7900595,14.87673127,0.260050144,No TL,-25%,SMOTE
0.842263122,116.7554701,41.49452682,0.464289071,TL,-15%,+500% S
0.842141256,113.4800574,178.706492,0.49097184,No TL,-25%,+300% S
0.841946625,54.7241714,58.66382014,0.927540523,TL,-40%,Imbal BS
0.841859034,86.66181564,18.61297812,0.724554737,No TL,-40%,+500% S
0.841844552,87.64149157,32.57640632,0.803476721,No TL,-25%,Imbal S
0.841775327,84.99935786,65.5232749,0.579897515,TL,-25%,+300% S
0.841444865,57.87189611,7.554851681,0.841708056,No TL,-60%,+500% S
0.841375255,66.67912038,81.48751879,0.940803411,No TL,-60%,+500% BS
0.841279476,15.20518788,86.13056857,0.135235915,TL,-80%,Imbal S
0.841220044,76.51752583,29.6983864,0.639171884,TL,-25%,Imbal S
0.841166745,5.797192574,60.94784929,1.01931606,TL,-80%,+100% S
0.841140576,83.38774085,108.3097512,1.040048288,TL,-15%,+50% S
0.840839263,136.1055555,90.18645318,0.391808015,No TL,-25%,+500% S
0.840621648,71.57565236,80.33556532,0.931967138,No TL,-60%,+500% BS
0.840603332,5.631828944,66.5214213,0.954562717,TL,-80%,+100% S
0.840553597,49.84364398,3.144565373,0.753798115,TL,-80%,+500% S
0.84052016,85.40309604,60.39832684,0.390936615,No TL,-40%,+500% S
0.840496151,222.6391848,16.44495473,0.730426432,TL,-25%,BoSMOTE
0.840439948,8.614523888,61.77201096,0.269052428,No TL,-80%,SMOTE
0.840428277,62.58722878,13.30938896,0.526462688,TL,Imbal,+500% S
0.840421782,39.76969592,29.81256093,0.891717047,No TL,Imbal,BoSMOTE
0.84035937,238.5850034,12.52026488,0.88937888,No TL,-25%,BoSMOTE
0.840342794,34.3960801,53.70533057,0.368624399,TL,Imbal,Imbal S
0.840268625,8.251958211,29.19200496,0.346748281,TL,-80%,SMOTE
0.840227762,102.8025049,99.512267,0.907479184,No TL,-40%,+500% BS
0.840176026,207.4234974,28.4670665,0.721500537,No TL,-40%,BoSMOTE
0.840004949,9.487009684,92.18362899,0.848281567,TL,-80%,BoSMOTE
0.839840954,88.11824393,76.1995084,0.505579444,TL,-25%,+300% S
0.839824189,41.41982174,108.695553,0.323683341,TL,Imbal,+300% S
0.839306317,40.41964142,30.31109012,0.293680083,TL,-60%,+500% S
0.839230353,18.68430177,90.51879307,0.645376434,TL,-80%,Imbal BS
0.839181897,330.1283516,4.598806521,0.394011368,No TL,-15%,SMOTE
0.839154738,79.63090555,36.80858218,1.01460722,TL,-15%,+500% BS
0.839111111,89.0890766,48.56690228,0.916423585,TL,-25%,Imbal BS
0.838931515,28.29416593,23.28761618,0.755523973,No TL,-40%,Imbal S
0.838871311,50.92133451,16.91891799,0.683938527,TL,-40%,Imbal S
0.838576614,277.7817651,32.65973576,0.432719347,TL,-15%,BoSMOTE
0.83842709,98.30121175,68.86288985,0.925939998,TL,-15%,+100% S
0.838170874,9.670208136,60.22784758,1.029555397,No TL,-80%,BoSMOTE
0.838052781,95.20949499,20.7682028,0.986453384,TL,-15%,+300% S
